"subid","wave","gender","age"
"01","1","female",10.422
"01","2","female",13.503
"03","1","female",10.547
"04","1","female",9.722
"05","1","male",9.914
"05","2","male",12.975
"05","3","male",16.661
"06","1","female",10.403
"07","1","female",10.328
"07","2","female",13.328
"08","2","male",13.567
"09","1","male",9.553
"09","2","male",12.664
"10","1","female",10.356
"11","2","male",12.925
"14","1","male",9.919
"15","1","male",9.772
"16","1","female",10.5
"16","2","female",12.586
"16","3","female",16.661
"17","1","male",10.425
"17","2","male",13.353
"19","1","female",10.275
"19","2","female",13.05
"19","3","female",16.528
"20","1","female",10.011
"20","2","female",13.072
"22","1","female",9.789
"22","2","female",12.617
"22","3","female",15.931
"23","1","female",9.711
"23","2","female",12.842
"23","3","female",15.919
"24","1","female",9.878
"24","2","female",13.7
"24","3","female",16.439
"26","1","male",9.919
"28","1","male",9.961
"28","2","male",12.847
"28","3","male",16.558
"29","1","female",10.083
"29","2","female",12.925
"29","3","female",16.2972
"30","1","male",9.489
"30","2","male",13.1972222222222
"30","3","male",16.242
"31","1","female",9.986
"32","1","female",9.544
"32","2","female",13.1916666666667
"32","3","female",14.894
"33","1","male",9.569
"33","2","male",12.728
"33","3","male",16.2139
"34","2","male",13.461
"35","1","female",9.794
"35","2","female",12.753
"35","3","female",15.794
"36","1","female",10.397
"37","1","male",9.867
"38","1","male",10.572
"38","2","male",13.281
"38","3","male",17.25
"39","1","female",10.497
"40","1","male",9.831
"40","2","male",12.633
"41","1","female",9.719
"41","2","female",13.45
"41","3","female",16.683
"42","1","female",10.272
"42","2","female",13.019
"42","3","female",16.453
"45","1","female",9.772
"45","2","female",12.803
"45","3","female",16.044
"46","1","female",9.958
"46","2","female",13.1194444444444
"46","3","female",16.142
"47","1","male",10.469
"48","1","female",9.758
"49","1","female",10.119
"49","2","female",12.936
"51","1","female",9.986
"51","2","female",12.792
"51","3","female",17
"52","1","male",9.839
"53","1","male",9.833
"54","1","female",9.964
"54","2","female",13.247
"55","1","male",9.814
"55","2","male",13.4111111111111
"55","3","male",17.14
"56","1","female",10.078
"57","1","female",9.961
"57","2","female",13.4333333333333
"57","3","female",17.27
"58","1","female",10.503
"58","2","female",13.017
"58","3","female",17.15
"59","1","female",9.844
"59","2","female",13.3861111111111
"59","3","female",16.46
"60","1","female",9.814
"60","2","female",12.958
"60","3","female",17.42
"62","1","male",10.511
"63","1","male",9.85
"64","1","male",9.817
"64","2","male",13.35
"64","3","male",16.95
"65","1","female",10.558
"65","2","female",12.8
"65","3","female",16.33
"67","1","male",9.947
"68","1","female",9.778
"70","1","male",9.922
"70","2","male",13.1361111111111
"70","3","male",16.28
"71","1","male",10.561
"71","2","male",13.8972222222222
"72","1","female",10.472
"72","2","female",12.631
"72","3","female",15.903
"73","1","male",10.125
"73","2","male",13.114
"73","3","male",16.053
"74","1","male",10.508
"74","3","male",16.35
"75","1","male",10.578
"76","1","male",10.339
"76","2","male",13.169
"76","3","male",17.58
"77","1","female",10.478
"78","1","male",10.489
"78","2","male",13.211
"78","3","male",17.32
"80","1","female",10.519
"80","2","female",13.225
"80","3","female",16.2722
"81","1","male",10.256
"81","2","male",12.378
"82","1","female",9.903
"82","2","female",12.8111111111111
"82","3","female",17.06
"83","1","female",9.794
"83","2","female",13.0666666666667
"84","2","male",13.0111111111111
"84","3","male",16.63
"85","1","female",10.122
"86","1","male",10.453
"86","2","male",13.175
"86","3","male",17.406
"87","1","male",10.197
"87","3","male",16.2944
"88","1","male",10.169
"88","2","male",13.3027777777778
"89","1","male",10.206
"89","2","male",13.203
"89","3","male",16.55
"90","1","male",9.886
"90","2","male",12.408
"90","3","male",15.722
"91","1","female",10.081
"92","1","female",9.839
"92","2","female",12.725
"93","1","male",9.725
"94","1","female",10.383
"94","2","female",13.003
"94","3","female",15.9583
"95","1","female",9.764
"96","1","female",9.772
"96","2","female",12.886
"96","3","female",16.36
"97","1","male",9.872
"18","1","male",9.819
"18","2","male",13.1
"18","3","male",16.46
"61","1","male",9.989
"79","1","male",10.283
